nb_epoch = 70, timestep=30 
layers: [1, 50, 1]---------------------
batch_size	RMSE	TPA	TPPA
32	19.6460207053	0.46004842615	0.211165048544
64	19.5966523772	0.462469733656	0.21359223301
128	20.8677249694	0.467312348668	0.21359223301
256	20.111881271	0.464891041162	0.218446601942
512	20.2837887863	0.47215496368	0.259708737864
layers: [1, 50, 50, 1]---------------------
batch_size	RMSE	TPA	TPPA
32	19.9170724506	0.452784503632	0.220873786408
64	20.1151397345	0.452784503632	0.216019417476
128	21.3770452289	0.457627118644	0.220873786408
256	20.3051790231	0.46004842615	0.223300970874
512	24.2028949903	0.462469733656	0.257281553398
