batch_size = 512 
layers: [1, 100, 1]; timesteps: 10-------------------
number of epoch	RMSE	TPA	TPPA
1	34.7802795465	0.467469879518	0.410628019324
5	27.3045853994	0.460240963855	0.357487922705
10	29.1036583161	0.474698795181	0.364734299517
15	22.6394196167	0.455421686747	0.321256038647
20	23.3045532304	0.453012048193	0.297101449275
25	21.2907863759	0.453012048193	0.287439613527
30	21.4104099328	0.479518072289	0.272946859903
35	21.5004524927	0.467469879518	0.243961352657
50	19.8734453337	0.465060240964	0.231884057971
70	20.0109006163	0.465060240964	0.217391304348
100	19.566575947	0.465060240964	0.212560386473
150	19.8647574427	0.465060240964	0.210144927536
200	20.4375886775	0.457831325301	0.207729468599
layers: [1, 100, 1]; timesteps: 50-------------------
number of epoch	RMSE	TPA	TPPA
1	41.1192472838	0.469586374696	0.417073170732
5	38.6921892662	0.47201946472	0.439024390244
10	29.4763352538	0.447688564477	0.39512195122
15	27.9781285478	0.464720194647	0.363414634146
20	26.4593799867	0.467153284672	0.317073170732
25	24.3834951728	0.469586374696	0.339024390244
30	24.1095584153	0.474452554745	0.331707317073
35	23.3037658771	0.45498783455	0.319512195122
50	21.2011953869	0.45498783455	0.285365853659
70	20.1799564474	0.462287104623	0.239024390244
100	19.9065807694	0.459854014599	0.229268292683
150	19.8183673936	0.462287104623	0.217073170732
200	21.5480120718	0.464720194647	0.214634146341
layers: [1, 50, 100, 1]; timesteps: 10-------------------
number of epoch	RMSE	TPA	TPPA
1	35.2805510773	0.479518072289	0.429951690821
5	32.2427441421	0.460240963855	0.393719806763
10	27.8329388835	0.479518072289	0.359903381643
15	27.8828770941	0.477108433735	0.340579710145
20	23.1883318998	0.481927710843	0.333333333333
25	22.9766758912	0.46265060241	0.280193236715
30	20.5199447428	0.46265060241	0.265700483092
35	20.2435253381	0.472289156627	0.260869565217
50	19.6984213341	0.467469879518	0.234299516908
70	20.5841902421	0.465060240964	0.222222222222
100	20.8832538351	0.46265060241	0.217391304348
150	21.3191520017	0.469879518072	0.219806763285
200	20.9442354362	0.469879518072	0.217391304348
layers: [1, 50, 100, 1]; timesteps: 50-------------------
number of epoch	RMSE	TPA	TPPA
1	44.6636140641	0.445255474453	0.390243902439
5	35.8912608179	0.462287104623	0.434146341463
10	34.9326416197	0.442822384428	0.40243902439
15	28.6439927328	0.469586374696	0.392682926829
20	27.4027697748	0.459854014599	0.368292682927
25	25.9414230991	0.474452554745	0.356097560976
30	26.2109483899	0.459854014599	0.339024390244
35	26.3369009048	0.467153284672	0.321951219512
50	23.5403302624	0.450121654501	0.307317073171
70	21.0039422483	0.459854014599	0.280487804878
100	20.0115602047	0.462287104623	0.239024390244
150	20.0675921464	0.459854014599	0.229268292683
200	21.1956975751	0.457420924574	0.234146341463
