batch_size = 512,nb_epoch = 70,timestep=50 
hidden state size	RMSE	TPA	TPPA
1	59.0140415757	0.464720194647	0.334146341463
3	33.6184584225	0.435523114355	0.385365853659
5	21.8393759551	0.469586374696	0.282926829268
7	25.7150551376	0.459854014599	0.348780487805
10	22.8687350738	0.469586374696	0.312195121951
15	22.7659057264	0.469586374696	0.309756097561
20	22.7528322789	0.452554744526	0.324390243902
25	22.8136329373	0.457420924574	0.30487804878
30	21.0534140336	0.452554744526	0.287804878049
35	21.5074817296	0.45498783455	0.282926829268
40	20.8281574592	0.457420924574	0.282926829268
50	20.7192251623	0.45498783455	0.273170731707
70	20.2357258774	0.476885644769	0.256097560976
80	21.2984405676	0.47201946472	0.253658536585
100	20.0748340779	0.474452554745	0.251219512195
