batch_size = 512,nb_epoch = 30,timestep=50 
hidden state size	RMSE	TPA	TPPA
1	55.2283136885	0.459854014599	0.321951219512
3	72.5576306294	0.452554744526	0.324390243902
5	30.0883214628	0.479318734793	0.343902439024
7	34.071601343	0.440389294404	0.387804878049
10	24.681785129	0.464720194647	0.309756097561
15	25.9932152137	0.469586374696	0.346341463415
20	25.0367822445	0.464720194647	0.339024390244
25	24.5839298618	0.462287104623	0.321951219512
30	23.5831145251	0.457420924574	0.307317073171
35	23.8784222425	0.462287104623	0.314634146341
40	25.8520354793	0.464720194647	0.356097560976
50	26.6249780802	0.47201946472	0.324390243902
70	23.4596285197	0.47201946472	0.329268292683
80	22.8050847623	0.467153284672	0.317073170732
100	23.0759004665	0.467153284672	0.326829268293
