
batch_size = 512,nb_epoch = 70 
hidden state size: 10------------------
timestep size	RMSE	TPA	TPPA
5	21.0177610484	0.475961538462	0.253012048193
10	21.4990960494	0.453012048193	0.297101449275
15	21.4924480935	0.453012048193	0.285024154589
20	22.3891087347	0.473429951691	0.307506053269
35	21.8934543231	0.467312348668	0.28640776699
50	23.7037294648	0.464720194647	0.29756097561
75	26.1284456653	0.464547677262	0.348039215686
90	26.0224431002	0.447174447174	0.357142857143
100	24.1201458548	0.48275862069	0.318518518519
110	25.7677417936	0.466666666667	0.346534653465
120	23.4617672197	0.470297029703	0.29776674938
150	24.3251910022	0.463840399002	0.325
hidden state size: 25------------------
timestep size	RMSE	TPA	TPPA
5	19.9082302846	0.461538461538	0.238554216867
10	19.8225942291	0.457831325301	0.231884057971
15	20.2771794829	0.467469879518	0.260869565217
20	20.8985851275	0.461352657005	0.266343825666
35	23.4655898607	0.46004842615	0.296116504854
50	24.1493782094	0.45498783455	0.290243902439
75	22.3402696185	0.462102689487	0.30637254902
90	22.6750310273	0.464373464373	0.317733990148
100	22.8190621313	0.467980295567	0.301234567901
110	23.7353115603	0.459259259259	0.311881188119
120	24.6355202938	0.470297029703	0.354838709677
150	24.0496889568	0.463840399002	0.33
hidden state size: 50------------------
timestep size	RMSE	TPA	TPPA
5	19.5801526225	0.461538461538	0.212048192771
10	19.6056485955	0.457831325301	0.227053140097
15	20.7684338353	0.46265060241	0.24154589372
20	20.2113976765	0.475845410628	0.256658595642
35	21.4758341206	0.469733656174	0.269417475728
50	20.6646650771	0.469586374696	0.263414634146
75	21.5288406678	0.454767726161	0.294117647059
90	22.3119733245	0.457002457002	0.320197044335
100	22.003772906	0.458128078818	0.301234567901
110	21.4581785621	0.454320987654	0.294554455446
120	23.0960170705	0.465346534653	0.317617866005
150	22.5757245372	0.45885286783	0.31
hidden state size: 75------------------
timestep size	RMSE	TPA	TPPA
5	19.5011348471	0.456730769231	0.214457831325
10	19.5854945822	0.469879518072	0.217391304348
15	20.0120004966	0.467469879518	0.231884057971
20	20.0441438091	0.463768115942	0.239709443099
35	20.5694992865	0.474576271186	0.254854368932
50	20.5899596539	0.464720194647	0.260975609756
75	22.9259579669	0.459657701711	0.267156862745
90	21.3118541374	0.444717444717	0.285714285714
100	21.7127560645	0.440886699507	0.298765432099
110	21.3008145216	0.449382716049	0.294554455446
120	23.6249045215	0.445544554455	0.307692307692
150	22.2988495381	0.441396508728	0.3125
hidden state size: 100------------------
timestep size	RMSE	TPA	TPPA
5	19.5433165611	0.456730769231	0.214457831325
10	20.8807430801	0.465060240964	0.214975845411
15	20.4928994101	0.477108433735	0.224637681159
20	19.6987102114	0.471014492754	0.230024213075
35	20.5251179681	0.46004842615	0.235436893204
50	21.9708294334	0.462287104623	0.270731707317
75	21.6628192985	0.457212713936	0.281862745098
90	21.0949119493	0.452088452088	0.278325123153
100	21.6891552272	0.453201970443	0.296296296296
110	24.7451392367	0.446913580247	0.30198019802
120	26.1226738603	0.450495049505	0.295285359801
150	23.4160439572	0.461346633416	0.34
