batch_size = 512,nb_epoch = 30 
hidden state size: 10------------------
timestep size	RMSE	TPA	TPPA
5	25.3050881355	0.487980769231	0.375903614458
10	24.6032225276	0.49156626506	0.335748792271
15	24.5211148389	0.450602409639	0.330917874396
20	24.158314822	0.480676328502	0.322033898305
35	30.4510446245	0.476997578692	0.390776699029
50	31.554035287	0.45498783455	0.378048780488
75	31.2472629146	0.457212713936	0.372549019608
90	29.2505454112	0.476658476658	0.374384236453
100	29.9078043429	0.445812807882	0.395061728395
110	37.1505949038	0.474074074074	0.435643564356
120	28.1206529418	0.470297029703	0.330024813896
150	35.3484429984	0.45885286783	0.4125
hidden state size: 50------------------
timestep size	RMSE	TPA	TPPA
5	20.9020173513	0.473557692308	0.272289156627
10	21.1918017378	0.455421686747	0.292270531401
15	23.2571447652	0.460240963855	0.309178743961
20	24.3860306145	0.480676328502	0.348668280872
35	23.4747581768	0.469733656174	0.322815533981
50	22.6526463681	0.464720194647	0.317073170732
75	26.087194495	0.471882640587	0.355392156863
90	25.6241982821	0.469287469287	0.352216748768
100	24.9288515713	0.472906403941	0.325925925926
110	25.4768507848	0.461728395062	0.34900990099
120	29.4354715444	0.465346534653	0.397022332506
150	28.0034230671	0.4463840399	0.37
hidden state size: 100------------------
timestep size	RMSE	TPA	TPPA
5	21.5307263857	0.471153846154	0.238554216867
10	20.4477351606	0.469879518072	0.265700483092
15	22.5597933108	0.455421686747	0.299516908213
20	20.8552004865	0.458937198068	0.271186440678
35	23.3090421902	0.457627118644	0.330097087379
50	22.9244604453	0.459854014599	0.331707317073
75	24.8652548866	0.452322738386	0.34068627451
90	26.1424934032	0.476658476658	0.337438423645
100	25.1689239726	0.477832512315	0.345679012346
110	27.7751616573	0.469135802469	0.346534653465
120	27.8507030709	0.465346534653	0.357320099256
150	26.5450494154	0.461346633416	0.3575
