Date,Open,High,Low,Close,Volume
2017-09-19,159.51,159.77,158.44,158.73,20539491
2017-09-18,160.11,160.50,158.00,158.67,28269435
2017-09-15,158.47,160.97,158.00,159.88,49114602
2017-09-14,158.99,159.40,158.09,158.28,23760749
2017-09-13,159.87,159.96,157.91,159.65,44907361
2017-09-12,162.61,163.96,158.77,160.86,71714046
2017-09-11,160.50,162.05,159.89,161.50,31580798
2017-09-08,160.86,161.15,158.53,158.63,28611535
2017-09-07,162.09,162.24,160.36,161.26,21928502
2017-09-06,162.71,162.99,160.52,161.91,21651726
2017-09-05,163.75,164.25,160.56,162.08,29536314
2017-09-01,164.80,164.94,163.63,164.05,16591051
2017-08-31,163.64,164.52,163.48,164.00,26785096
2017-08-30,163.80,163.89,162.61,163.35,27269584
2017-08-29,160.10,163.12,160.00,162.91,29516910
2017-08-28,160.14,162.00,159.93,161.47,25965972
2017-08-25,159.65,160.56,159.27,159.86,25480063
2017-08-24,160.43,160.74,158.55,159.27,19818918
2017-08-23,159.07,160.47,158.88,159.98,19399081
2017-08-22,158.23,160.00,158.02,159.78,21604585
2017-08-21,157.50,157.89,155.11,157.21,26368528
2017-08-18,157.86,159.50,156.72,157.50,27428069
2017-08-17,160.52,160.71,157.84,157.86,27940565
2017-08-16,161.94,162.51,160.15,160.95,27671612
2017-08-15,160.66,162.20,160.14,161.60,29465487
2017-08-14,159.32,160.21,158.75,159.85,22122734
2017-08-11,156.60,158.57,156.07,157.48,26257096
2017-08-10,159.90,160.00,154.63,155.32,40804273
2017-08-09,159.26,161.27,159.11,161.06,26131530
2017-08-08,158.60,161.83,158.27,160.08,36205896
2017-08-07,157.06,158.92,156.67,158.81,21870321
2017-08-04,156.07,157.40,155.69,156.39,20559852
2017-08-03,157.05,157.21,155.02,155.57,27097296
2017-08-02,159.28,159.75,156.16,157.14,69936800
2017-08-01,149.10,150.22,148.41,150.05,35368645
2017-07-31,149.90,150.33,148.13,148.73,19845920
2017-07-28,149.89,150.23,149.19,149.50,17213653
2017-07-27,153.75,153.99,147.30,150.56,32476337
2017-07-26,153.35,153.93,153.06,153.46,15780951
2017-07-25,151.80,153.84,151.80,152.74,18853932
2017-07-24,150.58,152.44,149.90,152.09,21493160
2017-07-21,149.99,150.44,148.88,150.27,26252630
2017-07-20,151.50,151.74,150.19,150.34,17243748
2017-07-19,150.48,151.42,149.95,151.02,20922969
2017-07-18,149.20,150.13,148.67,150.08,17868792
2017-07-17,148.82,150.90,148.57,149.56,23793456
2017-07-14,147.97,149.33,147.33,149.04,20132061
2017-07-13,145.50,148.49,145.44,147.77,25199373
2017-07-12,145.87,146.18,144.82,145.74,24884478
2017-07-11,144.73,145.85,144.38,145.53,19781836
2017-07-10,144.11,145.95,143.37,145.06,21090636
2017-07-07,142.90,144.75,142.90,144.18,19201712
2017-07-06,143.02,143.50,142.41,142.73,24128782
2017-07-05,143.69,144.79,142.72,144.09,21569557
2017-07-03,144.88,145.30,143.10,143.50,14277848
2017-06-30,144.45,144.96,143.78,144.02,23024107
2017-06-29,144.71,145.13,142.28,143.68,31499368
2017-06-28,144.49,146.11,143.16,145.83,22082432
2017-06-27,145.01,146.16,143.62,143.73,24761891
2017-06-26,147.17,148.28,145.38,145.82,25692361
2017-06-23,145.13,147.16,145.11,146.28,35439389
2017-06-22,145.77,146.70,145.12,145.63,19106294
2017-06-21,145.52,146.07,144.61,145.87,21265751
2017-06-20,146.87,146.87,144.94,145.01,24900073
2017-06-19,143.66,146.74,143.66,146.34,32541404
2017-06-16,143.78,144.50,142.20,142.27,50361093
2017-06-15,143.32,144.48,142.21,144.29,32165373
2017-06-14,147.50,147.50,143.84,145.16,31531232
2017-06-13,147.16,147.45,145.15,146.59,34165445
2017-06-12,145.74,146.09,142.51,145.42,72307330
2017-06-09,155.19,155.19,146.02,148.98,64882657
2017-06-08,155.25,155.54,154.40,154.99,21250798
2017-06-07,155.02,155.98,154.48,155.37,21069647
2017-06-06,153.90,155.81,153.78,154.45,26624926
2017-06-05,154.34,154.45,153.46,153.93,25331662
2017-06-02,153.58,155.45,152.89,155.45,27770715
2017-06-01,153.17,153.33,152.22,153.18,16404088
2017-05-31,153.97,154.17,152.38,152.76,24451164
2017-05-30,153.42,154.43,153.33,153.67,20126851
2017-05-26,154.00,154.24,153.31,153.61,21927637
2017-05-25,153.73,154.35,153.03,153.87,19235598
2017-05-24,153.84,154.17,152.67,153.34,19219154
2017-05-23,154.90,154.90,153.31,153.80,19918871
2017-05-22,154.00,154.58,152.91,153.99,22966437
2017-05-19,153.38,153.98,152.63,153.06,26960788
2017-05-18,151.27,153.34,151.13,152.54,33568215
2017-05-17,153.60,154.57,149.71,150.25,50767678
2017-05-16,155.94,156.06,154.72,155.47,20048478
2017-05-15,156.01,156.65,155.05,155.70,26009719
2017-05-12,154.70,156.42,154.67,156.10,32527017
2017-05-11,152.45,154.07,152.31,153.95,27255058
2017-05-10,153.63,153.94,152.11,153.26,25805692
2017-05-09,153.87,154.88,153.45,153.99,39130363
2017-05-08,149.03,153.70,149.03,153.01,48752413
