Date,Open,High,Low,Close,Volume
2017-09-19,977.25,978.24,967.46,969.86,2624857
2017-09-18,990.40,992.79,968.17,974.19,3411324
2017-09-15,993.01,996.25,984.03,986.79,3760183
2017-09-14,996.80,998.56,987.74,992.21,3913263
2017-09-13,983.97,1000.00,979.42,999.60,3374650
2017-09-12,983.27,984.67,975.52,982.58,2481066
2017-09-11,974.46,981.94,974.22,977.96,2186666
2017-09-08,979.10,979.88,963.47,965.90,2605322
2017-09-07,974.00,980.59,972.55,979.47,2566794
2017-09-06,968.32,971.84,960.60,967.80,2129861
2017-09-05,975.40,976.77,960.37,965.27,2998649
2017-09-01,984.20,984.50,976.88,978.25,2535917
2017-08-31,974.70,981.00,972.76,980.60,3331488
2017-08-30,958.44,969.41,956.91,967.59,2904604
2017-08-29,940.00,956.00,936.33,954.06,2874299
2017-08-28,946.54,953.00,942.25,946.02,2596737
2017-08-25,956.00,957.62,944.10,945.26,3324791
2017-08-24,957.42,959.00,941.14,952.45,5195726
2017-08-23,959.38,962.00,954.20,958.00,2668264
2017-08-22,955.52,967.93,955.50,966.90,2749970
2017-08-21,957.57,961.20,945.46,953.29,3164483
2017-08-18,961.40,965.43,954.65,958.47,3284821
2017-08-17,977.84,977.84,960.32,960.57,3512397
2017-08-16,981.65,986.46,973.22,978.18,3132066
2017-08-15,988.90,991.74,982.00,982.74,2549295
2017-08-14,978.41,985.50,976.19,983.30,3172892
2017-08-11,960.00,970.39,951.38,967.99,3468017
2017-08-10,976.30,979.86,954.68,956.92,5684068
2017-08-09,982.60,988.00,975.27,982.01,3569731
2017-08-08,994.35,996.28,985.79,989.84,2902815
2017-08-07,990.65,995.00,987.14,992.27,2676607
2017-08-04,989.68,991.67,982.00,987.58,2730308
2017-08-03,999.47,999.50,984.59,986.92,3255764
2017-08-02,1001.77,1003.21,981.73,995.89,4069993
2017-08-01,996.11,1006.40,991.58,996.19,4572576
2017-07-31,1019.05,1019.05,987.02,987.78,7352063
2017-07-28,1012.14,1032.85,1001.00,1020.04,7709420
2017-07-27,1069.55,1083.31,1040.18,1046.00,10991715
2017-07-26,1043.20,1053.20,1043.20,1052.80,2921253
2017-07-25,1038.05,1043.33,1032.48,1039.87,2447629
2017-07-24,1028.34,1043.01,1027.43,1038.95,3288020
2017-07-21,1021.28,1026.10,1011.00,1025.67,2734577
2017-07-20,1031.59,1034.97,1022.52,1028.70,3097487
2017-07-19,1025.00,1031.59,1022.50,1026.87,2963964
2017-07-18,1006.00,1026.03,1004.00,1024.45,4007624
2017-07-17,1004.69,1014.75,1003.81,1010.04,3712587
2017-07-14,1002.40,1004.45,996.89,1001.81,2102469
2017-07-13,1004.62,1006.88,995.90,1000.63,2880769
2017-07-12,1000.65,1008.55,998.10,1006.51,3608574
2017-07-11,993.00,995.99,983.72,994.13,2982726
2017-07-10,985.00,999.44,983.50,996.47,3546268
2017-07-07,969.55,980.11,969.14,978.76,2643387
2017-07-06,964.66,974.40,959.02,965.14,3259613
2017-07-05,961.53,975.00,955.25,971.40,3652955
2017-07-03,972.79,974.49,951.00,953.66,2909108
2017-06-30,980.12,983.47,967.61,968.00,3390345
2017-06-29,979.00,987.56,965.25,975.93,4302968
2017-06-28,978.55,990.68,969.21,990.33,3737567
2017-06-27,990.69,998.80,976.00,976.78,3782389
2017-06-26,1008.50,1009.80,992.00,993.98,3386157
2017-06-23,1002.54,1004.62,998.02,1003.74,2879145
2017-06-22,1002.23,1006.96,997.20,1001.30,2253433
2017-06-21,998.70,1002.72,992.65,1002.23,2922473
2017-06-20,998.00,1004.88,992.02,992.59,4076828
2017-06-19,1017.00,1017.00,989.90,995.17,5043408
2017-06-16,996.00,999.75,982.00,987.71,11472662
2017-06-15,958.70,965.73,950.86,964.17,5373865
2017-06-14,988.59,990.34,966.71,976.47,3974900
2017-06-13,977.99,984.50,966.10,980.79,4580011
2017-06-12,967.00,975.95,945.00,964.91,9447233
2017-06-09,1012.50,1012.99,927.00,978.31,7647692
2017-06-08,1012.06,1013.61,1006.11,1010.27,2767857
2017-06-07,1005.95,1010.25,1002.00,1010.07,2823041
2017-06-06,1012.00,1016.50,1001.25,1003.00,3346432
2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859
2017-06-02,998.99,1008.48,995.67,1006.73,3752328
2017-06-01,998.59,998.99,991.37,995.95,2454841
2017-05-31,1000.00,1000.12,982.16,994.62,3913115
2017-05-30,996.51,1001.20,995.52,996.70,3263069
2017-05-26,995.00,998.65,989.25,995.78,3469154
2017-05-25,984.85,999.00,982.11,993.38,4822032
2017-05-24,976.00,981.00,970.23,980.35,2463052
2017-05-23,975.02,975.20,966.85,971.54,2415594
2017-05-22,964.00,971.38,962.90,970.67,2642217
2017-05-19,962.84,968.92,959.72,959.84,3972089
2017-05-18,944.80,962.75,944.76,958.49,3939347
2017-05-17,954.70,960.40,944.12,944.76,5145578
2017-05-16,961.00,970.06,960.91,966.07,3126051
2017-05-15,958.73,963.15,956.06,957.97,4270625
2017-05-12,954.50,962.79,951.53,961.35,3625857
2017-05-11,945.11,950.29,940.78,947.62,2194070
2017-05-10,953.50,953.75,945.00,948.95,2096512
2017-05-09,952.80,957.89,950.20,952.82,3262113
2017-05-08,940.95,949.05,939.21,949.04,3415731
2017-05-05,940.52,940.79,930.30,934.15,2866397
2017-05-04,944.75,945.00,934.22,937.53,2418381
2017-05-03,946.00,946.00,935.90,941.03,3582686
2017-05-02,946.64,950.10,941.41,946.94,3848835
2017-05-01,927.80,954.40,927.80,948.23,5466544
2017-04-28,948.83,949.59,924.33,924.99,7364681
2017-04-27,914.39,921.86,912.11,918.38,5305543
2017-04-26,910.30,915.75,907.56,909.29,2608948
2017-04-25,907.04,909.48,903.00,907.62,3380639
2017-04-24,908.68,909.99,903.82,907.41,3122893
2017-04-21,902.67,903.65,896.77,898.53,2420494
2017-04-20,899.70,905.32,896.29,902.06,2814441
