Date,Open,High,Low,Close,Volume
2017-09-14,931.25,932.77,924.00,925.11,1397644
2017-09-13,930.66,937.25,929.86,935.09,1102631
2017-09-12,932.59,933.48,923.86,932.07,1134397
2017-09-11,934.25,938.38,926.92,929.08,1266991
2017-09-08,936.49,936.99,924.88,926.50,1011538
2017-09-07,931.73,936.41,923.62,935.95,1212743
2017-09-06,930.15,930.92,919.27,927.81,1527650
2017-09-05,933.08,937.00,921.96,928.45,1348292
2017-09-01,941.13,942.48,935.15,937.34,947374
2017-08-31,931.76,941.98,931.76,939.33,1582579
2017-08-30,920.05,930.82,919.65,929.57,1301225
2017-08-29,905.10,923.33,905.00,921.29,1185564
2017-08-28,916.00,919.24,911.87,913.81,1086484
2017-08-25,923.49,925.56,915.50,915.89,1053376
2017-08-24,928.66,930.84,915.50,921.28,1270306
2017-08-23,921.93,929.93,919.36,927.00,1090248
2017-08-22,912.72,925.86,911.48,924.69,1166737
2017-08-21,910.00,913.00,903.40,906.66,943441
2017-08-18,910.31,915.28,907.15,910.67,1342689
2017-08-17,925.78,926.86,910.98,910.98,1277238
2017-08-16,925.29,932.70,923.44,926.96,1006711
2017-08-15,924.23,926.55,919.82,922.22,883369
2017-08-14,922.53,924.67,918.19,922.67,1064530
2017-08-11,907.97,917.78,905.58,914.39,1206782
2017-08-10,917.55,919.26,906.13,907.24,1823967
2017-08-09,920.61,925.98,917.25,922.90,1192081
2017-08-08,927.09,935.81,925.61,926.79,1061579
2017-08-07,929.06,931.70,926.50,929.36,1032239
2017-08-04,926.75,930.31,923.03,927.96,1082267
2017-08-03,930.34,932.24,922.24,923.65,1202512
2017-08-02,928.61,932.60,916.68,930.39,1824448
2017-08-01,932.38,937.45,929.26,930.83,1277734
2017-07-31,941.89,943.59,926.04,930.50,1970095
2017-07-28,929.40,943.83,927.50,941.53,1846351
2017-07-27,951.78,951.78,920.00,934.09,3212996
2017-07-26,954.68,955.00,942.28,947.80,2088256
2017-07-25,953.81,959.70,945.40,950.70,4660979
2017-07-24,972.22,986.20,970.77,980.34,3248347
2017-07-21,962.25,973.23,960.15,972.92,1711000
2017-07-20,975.00,975.90,961.51,968.15,1624463
2017-07-19,967.84,973.04,964.03,970.89,1224540
2017-07-18,953.00,968.04,950.60,965.40,1153964
2017-07-17,957.00,960.74,949.24,953.42,1165537
2017-07-14,952.00,956.91,948.00,955.99,1053774
2017-07-13,946.29,954.45,943.01,947.16,1294687
2017-07-12,938.68,946.30,934.47,943.83,1532144
2017-07-11,929.54,931.43,922.00,930.09,1113235
2017-07-10,921.77,930.38,919.59,928.80,1192825
2017-07-07,908.85,921.54,908.85,918.59,1637785
2017-07-06,904.12,914.94,899.70,906.69,1424503
2017-07-05,901.76,914.51,898.50,911.71,1813884
2017-07-03,912.18,913.94,894.79,898.70,1710373
2017-06-30,926.05,926.05,908.31,908.73,2090226
2017-06-29,929.92,931.26,910.62,917.79,3299176
2017-06-28,929.00,942.75,916.00,940.49,2721406
2017-06-27,942.46,948.29,926.85,927.33,2579930
2017-06-26,969.90,973.31,950.79,952.27,1598355
2017-06-23,956.83,966.00,954.20,965.59,1527856
2017-06-22,958.70,960.72,954.55,957.09,941958
2017-06-21,953.64,960.10,950.76,959.45,1202233
2017-06-20,957.52,961.62,950.01,950.63,1125990
2017-06-19,949.96,959.99,949.05,957.37,1533336
2017-06-16,940.00,942.04,931.60,939.78,3094711
2017-06-15,933.97,943.34,924.44,942.31,2133050
2017-06-14,959.92,961.15,942.25,950.76,1489715
2017-06-13,951.91,959.98,944.09,953.40,2013337
2017-06-12,939.56,949.36,915.23,942.90,3763529
2017-06-09,984.50,984.50,935.63,949.83,3309389
2017-06-08,982.35,984.57,977.20,983.41,1481916
2017-06-07,979.65,984.15,975.77,981.08,1453874
2017-06-06,983.16,988.25,975.14,976.57,1814624
2017-06-05,976.55,986.91,975.10,983.68,1252106
2017-06-02,969.46,975.88,966.00,975.60,1750955
2017-06-01,968.95,971.50,960.01,966.95,1410458
2017-05-31,975.02,979.27,960.18,964.86,2448067
2017-05-30,970.31,976.20,969.49,975.88,1466654
2017-05-26,969.70,974.98,965.03,971.47,1252010
2017-05-25,957.33,972.63,955.47,969.54,1660474
2017-05-24,952.98,955.09,949.50,954.96,1034199
2017-05-23,947.92,951.47,942.58,948.82,1270817
2017-05-22,935.00,941.88,935.00,941.86,1120385
2017-05-19,931.47,937.76,931.00,934.01,1393024
2017-05-18,921.00,933.17,918.75,930.24,1596897
2017-05-17,935.67,939.33,918.14,919.62,2362072
2017-05-16,940.00,943.11,937.58,943.00,969479
2017-05-15,932.95,938.25,929.34,937.08,1108496
2017-05-12,931.53,933.44,927.85,932.22,1050601
2017-05-11,925.32,932.53,923.03,930.60,835386
2017-05-10,931.98,932.00,925.16,928.78,1173925
2017-05-09,936.95,937.50,929.53,932.17,1581809
2017-05-08,926.12,936.92,925.26,934.30,1329825
2017-05-05,933.54,934.90,925.20,927.13,1911275
2017-05-04,926.07,935.93,924.59,931.66,1422144
2017-05-03,914.86,928.10,912.54,927.04,1499532
2017-05-02,909.62,920.77,909.45,916.44,1587219
2017-05-01,901.94,915.68,901.45,912.57,2115993
2017-04-28,910.66,916.85,905.77,905.96,3276255
2017-04-27,873.60,875.40,870.38,874.25,2026816
2017-04-26,874.23,876.05,867.75,871.73,1237167
2017-04-25,865.00,875.00,862.81,872.30,1671972
2017-04-24,851.20,863.45,849.86,862.76,1372541
2017-04-21,842.88,843.88,840.60,843.19,1323583
2017-04-20,841.44,845.20,839.32,841.65,959031
2017-04-19,839.79,842.22,836.29,838.21,954330
2017-04-18,834.22,838.93,832.71,836.82,836722
2017-04-17,825.01,837.75,824.47,837.17,895015
2017-04-13,822.14,826.38,821.44,823.56,1122362
2017-04-12,821.93,826.66,821.02,824.32,900480
2017-04-11,824.71,827.43,817.02,823.35,1079732
2017-04-10,825.39,829.35,823.77,824.73,978905
2017-04-07,827.96,828.48,820.51,824.67,1057253
2017-04-06,832.40,836.39,826.46,827.88,1254433
2017-04-05,835.51,842.45,830.72,831.41,1555328
2017-04-04,831.36,835.18,829.04,834.57,1045363
2017-04-03,829.22,840.85,829.22,838.55,1671503
2017-03-31,828.97,831.64,827.39,829.56,1401893
2017-03-30,833.50,833.68,829.00,831.50,1055339
2017-03-29,825.00,832.76,822.38,831.41,1786321
2017-03-28,820.41,825.99,814.03,820.92,1620542
2017-03-27,806.95,821.63,803.37,819.51,1894990
2017-03-24,820.08,821.93,808.89,814.43,1981006
2017-03-23,821.00,822.57,812.26,817.58,3487056
2017-03-22,831.91,835.55,827.18,829.59,1401465
2017-03-21,851.40,853.50,829.02,830.46,2463484
2017-03-20,850.01,850.22,845.15,848.40,1231521
2017-03-17,851.61,853.40,847.11,852.12,1716471
2017-03-16,849.03,850.85,846.13,848.78,977560
2017-03-15,847.59,848.63,840.77,847.20,1381474
2017-03-14,843.64,847.24,840.80,845.62,780198
2017-03-13,844.00,848.68,843.25,845.54,1223647
2017-03-10,843.28,844.91,839.50,843.25,1704024
2017-03-09,836.00,842.00,834.21,838.68,1261517
2017-03-08,833.51,838.15,831.79,835.37,989773
2017-03-07,827.40,833.41,826.52,831.91,1037630
2017-03-06,826.95,828.88,822.40,827.78,1109037
2017-03-03,830.56,831.36,825.75,829.08,896378
2017-03-02,833.85,834.51,829.64,830.63,942476
2017-03-01,828.85,836.26,827.26,835.24,1496540
2017-02-28,825.61,828.54,820.20,823.21,2260769
2017-02-27,824.55,830.50,824.00,829.28,1101466
2017-02-24,827.73,829.00,824.20,828.64,1392202
2017-02-23,830.12,832.46,822.88,831.33,1472771
2017-02-22,828.66,833.25,828.64,830.76,987248
2017-02-21,828.66,833.45,828.35,831.66,1262337
2017-02-17,823.02,828.07,821.66,828.07,1611039
2017-02-16,819.93,824.40,818.98,824.16,1287626
2017-02-15,819.36,823.00,818.47,818.98,1313617
2017-02-14,819.00,823.00,816.00,820.45,1054732
2017-02-13,816.00,820.96,815.49,819.24,1213324
2017-02-10,811.70,815.25,809.78,813.67,1134976
2017-02-09,809.51,810.66,804.54,809.56,990391
2017-02-08,807.00,811.84,803.19,808.38,1155990
2017-02-07,803.99,810.50,801.78,806.97,1241221
2017-02-06,799.70,801.67,795.25,801.34,1184483
2017-02-03,802.99,806.00,800.37,801.49,1463448
2017-02-02,793.80,802.70,792.00,798.53,1532138
2017-02-01,799.68,801.19,791.19,795.70,2029744
2017-01-31,796.86,801.25,790.52,796.79,2160556
2017-01-30,814.66,815.84,799.80,802.32,3246573
2017-01-27,834.71,841.95,820.44,823.31,2965771
2017-01-26,837.81,838.00,827.01,832.15,2973891
2017-01-25,829.62,835.77,825.06,835.67,1627304
2017-01-24,822.30,825.90,817.82,823.87,1474010
2017-01-23,807.25,820.87,803.74,819.31,1963628
2017-01-20,806.91,806.91,801.69,805.02,1670045
2017-01-19,805.12,809.48,801.80,802.18,919325
2017-01-18,805.81,806.20,800.99,806.07,1294407
2017-01-17,807.08,807.14,800.37,804.61,1362115
2017-01-13,807.48,811.22,806.69,807.88,1099215
2017-01-12,807.14,807.39,799.17,806.36,1353057
2017-01-11,805.00,808.15,801.37,807.91,1065936
2017-01-10,807.86,809.13,803.51,804.79,1176780
2017-01-09,806.40,809.97,802.83,806.65,1274645
2017-01-06,795.26,807.90,792.20,806.15,1640170
2017-01-05,786.08,794.48,785.02,794.02,1335167
2017-01-04,788.36,791.34,783.16,786.90,1072958
2017-01-03,778.81,789.63,775.80,786.14,1657268
2016-12-30,782.75,782.78,770.41,771.82,1769950
2016-12-29,783.33,785.93,778.92,782.79,744272
2016-12-28,793.70,794.23,783.20,785.05,1153824
2016-12-27,790.68,797.86,787.66,791.55,789321
2016-12-23,790.90,792.74,787.28,789.91,623944
2016-12-22,792.36,793.32,788.58,791.26,972169
2016-12-21,795.84,796.68,787.10,794.56,1211346
2016-12-20,796.76,798.65,793.27,796.42,951014
2016-12-19,790.22,797.66,786.27,794.20,1232087
2016-12-16,800.40,800.86,790.29,790.80,2443796
2016-12-15,797.34,803.00,792.92,797.85,1626499
2016-12-14,797.40,804.00,794.01,797.07,1704150
2016-12-13,793.90,804.38,793.34,796.10,2145209
2016-12-12,785.04,791.25,784.36,789.27,2104117
2016-12-09,780.00,789.43,779.02,789.29,1821914
2016-12-08,772.48,778.18,767.23,776.42,1488059
2016-12-07,761.00,771.36,755.80,771.19,1760966
2016-12-06,764.73,768.83,757.34,759.11,1690689
2016-12-05,757.71,763.90,752.90,762.52,1394223
2016-12-02,744.59,754.00,743.10,750.50,1452484
2016-12-01,757.44,759.85,737.02,747.92,3017947
2016-11-30,770.07,772.99,754.83,758.04,2392890
2016-11-29,771.53,778.50,768.24,770.84,1616618
2016-11-28,760.00,779.53,759.80,768.24,2188151
2016-11-25,764.26,765.00,760.52,761.68,587421
2016-11-23,767.73,768.28,755.25,760.99,1478417
2016-11-22,772.63,776.96,767.00,768.27,1593108
2016-11-21,762.61,769.70,760.60,769.20,1330639
2016-11-18,771.37,775.00,760.00,760.54,1547145
2016-11-17,766.92,772.70,764.23,771.23,1286961
2016-11-16,755.20,766.36,750.51,764.48,1472594
2016-11-15,746.97,764.42,746.97,758.49,2384001
2016-11-14,755.60,757.85,727.54,736.08,3654385
2016-11-11,756.54,760.78,750.38,754.02,2431815
2016-11-10,791.17,791.17,752.18,762.56,4745183
2016-11-09,779.94,791.23,771.67,785.31,2607121
2016-11-08,783.40,795.63,780.19,790.51,1366873
2016-11-07,774.50,785.19,772.55,782.52,1585070
2016-11-04,750.66,770.36,750.56,762.02,2134812
2016-11-03,767.25,769.95,759.03,762.13,1943175
2016-11-02,778.20,781.65,763.45,768.70,1918414
2016-11-01,782.89,789.49,775.54,783.61,2406356
2016-10-31,795.47,796.86,784.00,784.54,2427284
2016-10-28,808.35,815.49,793.59,795.37,4269902
2016-10-27,801.00,803.49,791.50,795.35,2749221
2016-10-26,806.34,806.98,796.32,799.07,1647733
2016-10-25,816.68,816.68,805.14,807.67,1576404
2016-10-24,804.90,815.18,804.82,813.11,1697514
2016-10-21,795.00,799.50,794.00,799.37,1266181
2016-10-20,803.30,803.97,796.03,796.97,1757528
2016-10-19,798.86,804.63,797.64,801.56,1766798
2016-10-18,787.85,801.61,785.56,795.26,2056903
2016-10-17,779.80,785.85,777.50,779.96,1092973
2016-10-14,781.65,783.95,776.00,778.53,852487
2016-10-13,781.22,781.22,773.00,778.19,1365277
2016-10-12,783.76,788.13,782.06,786.14,937435
2016-10-11,786.66,792.28,780.58,783.07,1372461
2016-10-10,777.71,789.38,775.87,785.94,1174923
2016-10-07,779.66,779.66,770.75,775.08,933158
2016-10-06,779.00,780.48,775.54,776.86,1070692
2016-10-05,779.31,782.07,775.65,776.47,1461151
2016-10-04,776.03,778.71,772.89,776.43,1201350
2016-10-03,774.25,776.06,769.50,772.56,1278821
2016-09-30,776.33,780.94,774.09,777.29,1585333
2016-09-29,781.44,785.80,774.23,775.01,1314746
2016-09-28,777.85,781.81,774.97,781.56,1109834
2016-09-27,775.50,785.99,774.31,783.01,1153247
2016-09-26,782.74,782.74,773.07,774.21,1533206
2016-09-23,786.59,788.93,784.15,786.90,1411937
2016-09-22,780.00,789.85,778.44,787.21,1486223
2016-09-21,772.66,777.16,768.30,776.22,1167810
2016-09-20,769.00,773.33,768.53,771.41,978631
2016-09-19,772.42,774.00,764.44,765.70,1172824
