Date,Open,High,Low,Close,Volume
2017-09-14,364.33,377.96,362.63,377.64,7202524
2017-09-13,363.82,368.07,359.59,366.23,4185231
2017-09-12,364.49,368.76,360.40,362.75,5972907
2017-09-11,351.35,363.71,350.00,363.69,7667055
2017-09-08,348.99,349.78,342.30,343.40,3263508
2017-09-07,345.98,352.48,343.45,350.61,4239213
2017-09-06,349.50,350.98,341.56,344.53,4091351
2017-09-05,353.80,355.49,345.89,349.59,3848382
2017-09-01,356.12,357.59,353.69,355.40,3049546
2017-08-31,353.55,358.44,352.82,355.90,4072795
2017-08-30,349.67,353.47,347.00,353.18,3412943
2017-08-29,339.48,349.05,338.75,347.36,4073675
2017-08-28,347.28,347.35,339.72,345.66,3763956
2017-08-25,354.24,355.69,347.30,348.05,3483956
2017-08-24,352.52,356.66,349.74,352.93,4584687
2017-08-23,338.99,353.49,338.30,352.77,4954504
2017-08-22,341.13,342.24,337.37,341.35,4321966
2017-08-21,345.82,345.82,331.85,337.86,6495424
2017-08-18,352.91,354.00,345.80,347.46,5408183
2017-08-17,361.21,363.30,351.59,351.92,5027660
2017-08-16,363.00,366.50,362.52,362.91,3413773
2017-08-15,365.20,365.49,359.37,362.33,3085088
2017-08-14,364.63,367.66,362.60,363.80,4519186
2017-08-11,356.97,361.26,353.62,357.87,4365783
2017-08-10,361.60,366.65,354.66,355.40,7092858
2017-08-09,361.00,370.00,358.95,363.53,6892096
2017-08-08,357.53,368.58,357.40,365.22,7449837
2017-08-07,357.35,359.48,352.75,355.17,6324480
2017-08-04,347.00,357.27,343.30,356.91,9268909
2017-08-03,345.33,350.00,343.15,347.09,13535033
2017-08-02,318.94,327.12,311.22,325.89,13091462
2017-08-01,323.00,324.45,316.13,319.57,8303102
2017-07-31,335.50,341.49,321.04,323.47,8535136
2017-07-28,336.89,339.60,332.51,335.07,4880414
2017-07-27,346.00,347.50,326.29,334.46,8302405
2017-07-26,340.36,345.50,338.12,343.85,4820790
2017-07-25,345.00,345.60,334.15,339.60,6989197
2017-07-24,330.24,343.40,330.01,342.52,8637082
2017-07-21,329.46,331.26,325.80,328.40,4901606
2017-07-20,326.90,330.22,324.20,329.92,5166188
2017-07-19,328.23,331.65,323.22,325.26,6357014
2017-07-18,317.50,329.13,315.66,328.24,6373720
2017-07-17,325.54,327.10,313.45,319.57,9876912
2017-07-14,323.19,328.42,321.22,327.78,5625211
2017-07-13,330.11,331.60,319.97,323.41,8594466
2017-07-12,330.40,333.10,324.50,329.52,10346127
2017-07-11,316.00,327.28,314.30,327.22,11559402
2017-07-10,312.90,317.94,303.13,316.05,13820889
2017-07-07,313.50,317.00,307.38,313.22,14176915
2017-07-06,317.26,320.79,306.30,308.83,19324495
2017-07-05,347.20,347.24,326.33,327.09,17046701
2017-07-03,370.24,371.35,351.50,352.62,6305401
2017-06-30,363.71,366.77,359.62,361.61,5848521
2017-06-29,370.61,371.00,354.10,360.75,8221038
2017-06-28,366.68,371.74,362.52,371.24,6302463
